"Month","GrossRevenue","ActualNetRevenue","MonthlyLaborCost","WarehouseRent","EstimatedOperatingProfit","SourceRowsForMonth"
"2022-01","129833.88","110531.1","48375","25000","37156.1","2"
"2022-03","126120.09","106758.59","44326","25000","37432.59","1"
"2022-04","129682.35","111603.75","40977","25000","45626.75","1"
"2022-05","134147.13","113682.84","41714","25000","46968.84","2"
"2022-06","122534.96","105276.95","41393","25000","38883.95","1"
"2022-07","123876.72","104443.09","43705","25000","35738.09","1"
"2022-08","138440.23","117735.97","43672","25000","49063.97","1"
"2022-09","127539.69","108088.32","44033","25000","39055.32","1"
"2022-10","121477.46","104087.41","46881","25000","32206.41","1"
"2022-11","124481.67","104870.41","44488","25000","35382.41","1"
"2022-12","130740.8","110211.28","62702","25000","22509.28","1"
"2023-01","387634.4","332447.95","66463","25000","240984.95","1"
"2023-02","348728.75","295124.6","81711","25000","188413.6","1"
"2023-03","372752.31","316292.12","70196","25000","221096.12","1"
"2023-04","372973.33","319149.67","81944","25000","212205.67","1"
"2023-05","390639.34","328725.09","77608","25000","226117.09","1"
"2023-06","371939.19","315066.07","61522","25000","228544.07","1"
"2023-07","390416.99","331806.46","66732","25000","240074.46","1"
"2023-08","387160.15","329866.1","84189","25000","220677.1","1"
"2023-09","375665.47","319362.66","60163","25000","234199.66","1"
"2023-10","392237.01","335407.83","64663","25000","245744.83","1"
"2023-11","374506.94","319100.51","65403","25000","228697.51","1"
